Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Patthar Ke Sanam,"Manoj Kumar, Waheeda Rehman, Mumtaz",,,,1967,,9.0,,,
,Meherbaan,"Sunil Dutt, Nutan, Ashok Kumar",,,,1967,,10.0,,,
,Anita,"Manoj Kumar, Sadhana, I.S. Johar",,,,1967,,11.0,,,
,Aamne Samne,"Shashi Kapoor, Sharmila Tagore",,,,1967,,12.0,,,
,Aankhen,"Mala Sinha, Dharmendra, Mehmood",,,,1968,,,1.0,,
,Do Kaliyaan,"Mala Sinha, Biswajit, Neetu Singh, Mehmood",,,,1968,,,2.0,,
,Neel Kamal,"Waheeda Rehman, Manoj Kumar, Raaj Kumar, Lalita Pawar, Mehmood, Shashikala, Balraj Sahni",,,,1968,,,3.0,,
,Kanyadaan,"Shashi Kapoor, Asha Parekh, Om Prakash",,,,1968,,,4.0,,
,Shikar,"Dharmendra, Asha Parekh, Johnny Walker, Sanjeev Kumar, Helen",,,,1968,,,5.0,,
,Padosan,"Sunil Dutt, Saira Banu, Kishore Kumar, Mehmood",,,,1968,,,6.0,,
,Brahmachari,"Shammi Kapoor, Rajshree, Mumtaz, Pran",,,,1968,,,7.0,,
,Aadmi,"Dilip Kumar, Manoj Kumar, Waheeda Rehman, Simi Garewal",,,,1968,,,8.0,,
,Haseena Maan Jayegi,"Shashi Kapoor, Babita, Ameeta, Johnny Walker",,,,1968,,,9.0,,
,Duniya,"Dev Anand, Vyjayanthimala, Balraj Sahni, Johnny Walker",,,,1968,,,10.0,,
,Aabroo,"Deepak Kumar, Ashok Kumar, Vimi Tun Tun, Rehman, Jeevan, Mukri, Lalita Pawar, Nirupa Roy, Sunder",C L Rawal,Romantic melodrama,,1968,,,,Music: Sonik OmiLyrics: G. L. Rawal,
,Aadmi,"Dilip Kumar, Manoj Kumar, Waheeda Rehman, Pran, Simi Garewal, Agha, Ulhas, Mohan Choti, Sulochana",A. Bhim Singh,Drama,,1968,,,,Music: NaushadLyrics: Shakeel Badayuni,
,Aanchal Ke Phool,"Kamini Kaushal, Jayant, Chand Usmani, Madan Puri, Jeevan, Sunder, Ulhas",Karunesh Thakur,Social Family Drama,,1968,,,,Music: Ved SethiLyrics: Naqsh Lyallpuri,
,Aashirwad,"Ashok Kumar, Sanjeev Kumar, Sumita Sanyal, Sajjan, Veena, Harindranath Chattopadhyay, Sarika, Bipin Gupta, Ashim Kumar, Samar Roy, Abhi Bhattacharya",Hrishikesh Mukherjee,Family Melodrama,,1968,,,,"music: Vasant DesaiLyrics: Harindranath Chattopadhyay, Gulzar",
,Aankhen,"Dharmendra, Mala Sinha, Mehmood, Kumkum, Nazir Hussain, Sujit Kumar, Lalita Pawar, Daisy Irani",Ramanand Sagar,Thriller,,1968,,,,Music: RaviLyrics: Sahir Ludhianvi,
,Abhilasha,"Meena Kumari, Sanjay Khan, Nanda, Rehman, Murad, Agha, Mohan Choti, Sulochana",Amit Bose,Family Drama,,1968,,,,Music: R D BurmanLyrics: Majrooh Sultanpuri,
,Anjam,"Feroz Khan, Shahida, Helen, N. A. Ansari, Sunder, Azad, Johnny Whisky, Jeevankala",Shiv Kumar,Action Thriller,,1968,,,,"Music: GaneshLyrics: Qamar Jalalabadi, Zafar Rahi, Akhtar Romani",
,Anokhi Raat,"Sanjeev Kumar, Zaheeda, Ajay (Parikshit Sahni), Aruna Irani, Tarun Bose, Keshto Mukherjee, Mukri, Badri Prasad, Anwar",Asit Sen,Drama,,1968,,,,Music: RoshanLyrics: Indeevar,
,Apna Ghar Apni Kahani,"Shekhar, Bina Rai, Mumtaz, David, Sudhir, Bela Bose, Keshto Mukherjee, Madhumati",Phani Majumdar,Social Family Drama,,1968,,,,Music: N. DuttaLyrics: Qamar Jalalabadi,
,Aulad,"Jeetendra, Babita, Mehmood, Achala Sachdev, Aruna Irani, Helen, Jeevan, Nazir Hussain, Sujit Kumar, Manmohan, Sulochana Chatterjee",Kundan Kumar,Family Drama,,1968,,,,Music: ChitraguptaLyrics: Majrooh Sultanpuri,
,Baazi,"Dharmendra, Waheeda Rehman, Mehmood, Nazir Hussain, Helen, Johnny Walker, Ulhas, N. a. Ansari, Manmohan, Amar",Moni Bhattacharya,Suspense Thriller Romance,,1968,,,,Music: Kalyanji AnandjiLyrics: Shakeel Badayuni,
,Baharon Ki Manzil,"Dharmendra, Meena Kumari, Rehman, Farida Jalal, Tun Tun, Hashmi, Anwar Hussain, Wasti",Y. H. Rizvi,Family Drama,,1968,,,,Music: Laxmikant–PyarelalLyrics: Majrooh Sultanpuri,
,Balram Shri Krishna,"Dara Singh, Savitri, Shahu Modak, Premnath, Jayshree Gadkar, Gitanjali, Aruna Irani, Randhawa",Chandrakant,Mythology,,1968,,,,Music: C. RamchandraLyrics: Kavi Pradeep,
,Bambai Raat Ki Bahon Mein,"Persis Khambatta, Vimal Ahuja, Jalal Agha, Madhavi, Jeevan, Surekha, David, A. K. Hangal",K A Abbas,Social,,1968,,,,"Music: J P KaushikLyrics: Hasan Kamaal, Jalal Agha",
,Brahmachari,"Shammi Kapoor, Rajshree, Pran, Mumtaz, Jagdeep, Dhumal, Mohan Choti, Asit Sen, Krishan Dhawan, Manmohan, Farida Dadi, Sachin Pilgaonkar, Mehmood Jr.",Bhappi Sonie,Social Drama,,1968,,,,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",
,CID Agent 302,"Azad, Indira Billi, Tun Tun, Ram Mohan, Narbada Shamkar, Sherry, Birju, Shakila Bano Bhopali, Baby Raje",S. Azim,Spy Thriller,,1968,,,,"Music: IqbalLyrics: Aziz Gazi, Tabish Kanpuri",
,Dil Aur Mohabbat,"Joy Mukherjee, Sharmila Tagore, Ashok Kumar, K. N. Singh, Johnny Walker, Nazir Hussain, Bela Bose, Gajanan Jagirdar, Jankidas, Anoop Kumar, Sachin Pilgaonkar, Purnima, Tun Tun",Anand Datta,Thriller Suspense Romance,,1968,,,,"Music: O P NayyarLyrics: Aziz Kashmiri, Shewan Rizvi, S. H. Bihari, Verma Malik",
,Do Dooni Char,"Kishore Kumar, Tanuja, Iftekhar, Asit Sen, Surekha, Rashid Khan, Neetu Singh, Lata Arora, Chandrima Bhaduri",Debu Sen,Comedy Drama,,1968,,,,Music: Hemant KumarLyrics: Gulzar,
,Do Kaliyaan,"Biswajeet, Mala Sinha, Mehmood, Baby Soniya (Neetu Singh), Om Prakash, Nigar Sultana, Bharathi, Shabnam, Sonia Sahni, Manorama","R. Krishnan, S. Panju",Comedy Family Drama,,1968,,,,Music: RaviLyrics: Sahir Ludhianvi,
,Duniya,"Dev Anand, Vyjayanthimala, Balraj Sahni, Prem Chopra, Johnny Walker, Madan Puri, Lalita Pawar, Nana Palsikar, Laxmi Chhaya, Jagdish Raj, Sulochana",T. Prakash Rao,Romantic Thriller,,1968,,,,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, S. H. Bihari and Gopaldas Neeraj",
,Ek Kali Muskai,"Ashok Kumar, Joy Mukherjee, Meera Joglekar, Nirupa Roy, Om Prakash, Mehmood, Lalita Pawar, Bina, Nana Palsikar, Sunder, Malika",Vasant Joglekar,Romance Social Drama,,1968,,,,Music: Madan MohanLyrics: Rajendra Krishan,
,Ek Phool Ek Bhool,"Dev Kumar, Zeb Rehman, Jayanti, K. N. Singh, Madan Puri, Helen, Sudhir, Sunder, Dulari, Narmada Shankar, Ram Mohan",Kedar Kapoor,Social,,1968,,,,Music: Usha KhannaLyrics: Indeevar,
,Ek Raat,"Sheikh Mukhtar, Simi, Ravi Kumar, Madan Puri, Shyama, David, Samson, Laxmi Chhaya, Helen, Nazir Kashmiri",Rajnath,Suspense Thriller,,1968,,,,"Music: Usha KhannaLyrics: Yogesh, Jalal Malihabadi, Anjaan",
,Fareb,"Dev Kumar, Faryal, Bela Bose, Maruti, Rajan Haksar, Kundan, Sushma, N. A. Ansari",Jugal Kishore,Thriller,,1968,,,,Music: Usha KhannaLyrics: Asad Bhopali,
,Farishta,"Dev Kumar, Nivedita, Mehmood Jr., Gajanan Jagirdar, Master Shahid, Sudhir, Tun Tun",Kedar Kapoor,Drama,,1968,,,,Music: Dattaram WadkarLyrics: Asad Bhopali,
,Gauri,"Sunil Dutt, Nutan, Sanjeev Kumar, Mumtaz, Rajendra Nath, Om Prakash, Laxmi Chhaya, Urmila Bhatt, Leela Mishra, Ashim Kumar",A. Bhim Singh,Melodrama,,1968,,,,Music: RaviLyrics: Rajendra Krishan,
,Golden Eyes Secret Agent 077,"Sailesh Kumar, Mumtaz, Helen, Ravi Kumar, Shabnam, Asit Sen, B. M Vyas, Ulhas, Madhumati, Sheikh, Nazir Kashmiri, Abu Bakar",Kamal Sharma,Spy Action Thriller,,1968,,,,Music: Baldev NathLyrics: Shewan Rizvi,
,Har Har Gange,"Abhi Bhattacharya, Bharathi, Sulochana, Tun Tun, Mahesh Desai, B. M. Vyas, Jeevan, Helen, Madhumati, Raj Kumar, Polson, S. N. Tripathi",Babubhai Mistry,Religious,,1968,,,,Music: S. N. TripathiLyrics: Kavi Pradeep,
,Haseena Maan Jayegi,"Shashi Kapoor, Babita, Ameeta, Amar, Johnny Walker, Sapru, Manmohan, Niranjan Sharma",Prakash Mehra,Romance,,1968,,,,"Music: Kalyanji Anandji Lyrics: Qamar Jalalabadi, Akhtar Romani, Prakash Mehra",
,Haye Mera Dil,"Kishore Kumar, Kumkum, I. S. Johar, Laxmi Chhaya, Madan Puri, Prem Chopra, Raj Mehra, Parveen Paul",Ved Madan,Comedy,,1968,,,,"Music: Usha KhannaLyrics: Pyare Lal Santoshi, S. H. Bihari, Anand Bakshi",
,Humsaya,"Joy Mukherjee, Sharmila Tagore, Mala Sinha, Rehman, Gajanan Jagirdar, Sapru, Malika, Polson",Joy Mukherjee,Romantic Spy Drama,,1968,,,,"Music: O P NayyarLyrics: Hasrat Jaipuri, Shewan Rizvi, S. H. Bihari",
,Izzat,"Dharmendra, Tanuja, Jayalalithaa, Mehmood, Balraj Sahni, Tiwari, Mukri, David, Devika, Lalita Pawar",T. Prakash Rao,Social,,1968,,,,Music: Laxmikant PyarelalLyrics: Sahir Ludhianvi,
,Jawab Aayega,,"Ismat Chugtai, Shahid Lateef",Children,,1968,,,,,
,Jhuk Gaya Aasman,"Rajendra Kumar, Saira Banu, Rajendra Nath, Prem Chopra, David, Durga Khote, Gajanan Jagirdar, Kamal Kapoor, Narendranath, Hari Shivdasani, Parveen Choudhary, Ruby Myers, Ram Avatar",Lekh Tandon,Romantic fantasy Drama,,1968,,,,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra, S. H. Bihari",
,Juari,"Shashi Kapoor, Nanda, Kalpana, Tanuja, Rehman, David, Madan Puri, Naaz, Agha, Achala Sachdev, Kamal Kapoor, Sulochana",Suraj Prakash,Melodrama,,1968,,,,Music: Kalyanji AnandjiLyrics: Anand Bakshi,
,Jung Aur Aman,"Dara Singh, Mumtaz, Randhawa, Krishna Kumari, Jayant, Murad, Nadira, Laxmi Chhaya, Rajan Haksar, Mohan Choti",Nanabhai Bhatt,Action,,1968,,,,"Music: G. S. KohliLyrics: Prem Dhawan, Hasrat Jaipuri, Anjaan",
,Kahin Aur Chal,"Dev Anand, Asha Parekh, Shobha Khote, Madan Puri, Sunder, Jagdish Raj",Vijay Anand,Romantic Drama,,1968,,,,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",
,Kahin Din Kahin Raat,"Biswajeet, Sapna, Pran, Helen, Johnny Walker, Veena, Malika, Murad, Bipin Gupta, Mohan Choti, Nadira, Habib, Ram Avatar",Darshan,Action Thriller,,1968,,,,"Music: O P NayyarLyrics: S. H. Bihari, Aziz Kashmiri",
,Kanyadaan,"Shashi Kapoor, Asha Parekh, Dileep Raj, Sayeeda Khan, Om Prakash, Achala Sachdev, Tun Tun, Sabita Chatterjee, Sarita Khatau, Gopal Sehgal, Laxmi Chayya, Nazir Kashmiri, Rashid Khan",Mohan Sehgal,Social Romantic melodrama,,1968,,,,"Music: Shankar JaikishanLyrics: Gopaldas Neeraj, Hasrat Jaipuri",
,Khiladi,"Fearless Nadia, Dilip Raj, Sabita, Uma, Suzie, W. M. Khan, Vishwas Kunte, Habib",Homi Wadia,Action,,1968,,,,Basant Pictures. Music: Lala SattarLyrics: Faruk Kaiser,
,Kismat,"Biswajeet, Babita, Helen, Murad, Ulhas, Kamal Mehra, Hiralal, Hari Shivdasani, Jagdish Raj, Tun Tun, Polson, Shetty",Manmohan Desai,Romance Suspense Thriller,,1968,,,,Music: O. P. NayyarLyrics: Noor Dewasi,
,Lady Killer,"Aroon Sarnaik, Shabnam, David, Helen, Satyen Kappu, Nilofar, Rani, Arvind Rathod",B. J. Patel,Action Thriller,,1968,,,,Music: Ajit MerchantLyrics: Indeevar,
,Lahoo Pukarega,"Sujit Kumar, Shabnam, Tabassum, Madhumaliti, Salim Khan, Sunder, Rani, Habib, Noorjehan, Kundan",S. N. Tripathi,Action,,1968,,,,"Music: S N TripathiLyrics: Saba Fazli, Jaffer Ali",
,London Express,"Joni Bond, Rajan Kapoor, Arvind Rathod, Habib, Shri Bhagwan",B. J. Patel,Action Costume,,1968,,,,Music: Robin Bannerjee Lyrics: Bakshi M Khanna,
,Lutera Aur Jadugar,"Azad, Nishi, Tabassum, Jagdeep, Mohan Choti, Rajan Haksar, Heera Sawant, Noorjehan",D. Raman,Action Fantasy,,1968,,,,"Music: Suresh KumarLyrics: Yogesh, Naseem Zaidi",
,Man Ka Meet,"Som Dutt, Leena Chandavarkar, Vinod Khanna, Om Prakash, Achala Sachdev, Rajendranath, Ramesh Deo, Shammi, Nana Palsikar, Ashim Kumar, Manorama",A. Subba Rao,Romance Action,,1968,,,,"Ajanta Pictures, produced by Sunil Dutt. Music: RaviLyrics: Rajendra Krishan",
,Mata Mahakali,"Shahu Modak, Jayshree Gadkar, Nalini Chonkar, Ashish Kumar, B. M. Vyas, Niranjan Sharma, Mahesh Bhatt (actor), Polson",Dhirubhai Desai,Mythology,,1968,,,,Music: Avinash VyasLyrics: Bharat Vyas,
,Mere Hamdam Mere Dost,"Dharmendra, Sharmila Tagore, Mumtaz, Rehman, Santosh Kumar, Nigar Sultana, Om Prakash, Achala Sachdev, Snehlata, Khairati, Nazir Kashmiri",Amar Kumar,Romantic drama,,1968,,,,Music: Laxmikant PyarelalLyrics: Majrooh Sultanpuri,
,Mere Huzoor,"Raaj Kumar, Jeetendra, Mala Sinha, Laxmi Chhaya, Zeb Rehman, Johnny Walker, K. N. Singh, David, Manorama, Surekha, Indira Billi",Vinod Kumar,Romantic Drama,,1968,,,,Music: Shankar-JaikishanLyrics: Hasrat Jaipuri,
,Nadir Shah,"Feroz Khan, Naaz, Sheikh Mukhtar, Murad, Minu Mumtaz, P. Kailash, Hiralal, Sadiq",S. N. Tripathi,Historical Action Drama,,1968,,,,Music: S. N. TripathiLyrics: Majrooh Sultanpuri,
,Neel Kamal,"Waheeda Rehman, Manoj Kumar, Raaj Kumar, Lalita Pawar, Mehmood, Shashikala, Balraj Sahni",Ram Maheshwari,"Drama, Romance, Thriller, Musical",,1968,,,,Music: RaviLyrics: Sahir Ludhianvi,
,Padosan,"Sunil Dutt, Mehmood, Saira BanuKishore Kumar, Om Prakash, Dulari, Raj Kishore, Sunder, Agha, Jankidas",Jyoti Swaroop,Comedy/Musical,,1968,,,,Music: R. D. BurmanLyrics: Rajendra Krishan,
,Parivar,"Jeetendra, Nanda, Rajendranath, Om Prakash, Sulochana, Tun Tun, Jankidas, Krishan Dhawan",Kewal P. Kashyap,Family Drama,,1968,,,,Music: Kalyanji AnandjiLyrics: Gulshan Bawra,
,Payal Ki Jhankar,"Kishore Kumar, Rajasree, Jyotilaxmi, Rehman, Dhumal, P. Kailash",M. V. Raman,Romantic melodrama,,1968,,,,Music: C. RamchandraLyrics: Rajendra Krishan,
,Pinjra,"Shriram Lagoo, Sandhya, Nilu Phule, Vatsala Deshmukh, Bhalchandra Kulkarni",V. Shantaram,Romantic Social Melodrama,,1968,,,,Music: Ram KadamLyrics: Jagdish Khebudkar,
,Professor and Jadugar,"Indrajit, Indira, Khurshid (jr), Indira Bansal, Bob, Poonam Kapoor, Dalpat, Prem Sagar",Sultan,Action Fantasy,,1968,,,,"Music: Sardar SinghLyrics: Anjaan, K. Malik",
,Raaste Aur Manzil,"P. Jairaj, Azra, Sushma, Pratima Devi, Sachin",C. Vishwanath,Social,,1968,,,,Music: Ram KadamLyrics: Ibrahim Faiz,
,Raja Aur Runk,"Sanjeev Kumar, Kumkum, Nazima, Mohan Choti, Ajit, Mukri, Nirupa Roy, Mahesh Kumar, Kamal Kapoor, Aruna Irani, Bipin Gupta, Badri Prasad",K. P. Atma,Costume Drama,,1968,,,,Music: Laxmikant PyarelalLyrics: Anand Bakshi,
,Roop Rupaiya,"Jagdeep, Anita, Jayamala, Roma, Mirza Musharraf, Ulhas, Vivek",P. L. Santoshi,Social,,1968,,,,Music: Usha KhannaLyrics: Pyarelal Santoshi,
,Aradhana,"Rajesh Khanna, Sharmila Tagore",,,,1969,,,,,1.0
,YAKEEN,"DHARMENDRA, [[SHARMILA TAGORE](actress)|Bindu]]",,,,1969,,,,,2.0
,Ek Phool Do Mali,"Sadhana Shivdasani, Sanjay Khan, Balraj Sahni, Master Bobby, Durga Khote",,,,1969,,,,,3.0
,Bandhan,"Rajesh Khanna, Mumtaz, Rajendra Nath, Sanjeev Kumar",,,,1969,,,,,4.0
,[PYAR HI PYAR]],"DHARMENDRA, VAJYANTI MALA",,,,1969,,,,,5.0
,Jeene Ki Raah,"Jeetendra, Tanuja, Anjali, Sanjeev Kumar, Jagdeep",,,,1969,,,,,6.0
,Prince,"Shammi Kapoor, Vyjayanthimala, Helen, Rajendra Nath",,,,1969,,,,,7.0
,Aya Sawan Jhoom Ke,"Dharmendra, Asha Parekh, Nazir Hussain, Rajendra Nath",,,,1969,,,,,8.0
,Ittefaq,"Rajesh Khanna, Nanda",,,,1969,,,,,9.0
,Intaqam,"Sadhana Shivdasani, Sanjay Khan, Ashok Kumar, Helen, Rajendra Nath",,,,1969,,,,,10.0
,Aadmi Aur Insaan,"Dharmendra, Feroz Khan, Saira Banu",,,,1969,,,,,
,Aansoo Ban Gaye Phool,"Ashok Kumar, Debu Mukherjee, Pran, Anup Kumar, Nirupa Roy, Helen, Alka",,,,1969,,,,,
,Anjaan Hai Koi,"Feroz Khan, Nalini Chonkar, Aruna Irani, Helen, Tiwari, Mohan Choti",Babubhai Mistry,Thriller Suspense,"Music: Usha KhannaLyrics: Asad Bhopali, Usha Khanna, Manohar Khanna, Sardar Bikaneri",1969,,,,,
,Anjaana,"Rajendra Kumar, Babita, Pran",,,,1969,,,,,
,Anmol Moti,"Jeetendra, Babita, Jayant, Jagdeep",,,,1969,,,,,
,Apna Khoon Apna Dushman,"Dara Singh, Mumtaz, Randhawa, Tiwari, Shyam Kumar, Sanjana, Tun Tun, Maruti, Habib, Meenaxi Shirodkar, Ulhas",Kamran,Action,Music: Lala SattarLyrics: Farooq Qaiser,1969,,,,,
,Aradhana,"Rajesh Khanna, Sharmila Tagore, Farida Jalal, Sujeet Kumar, Ashok Kumar",Shakti Samanta,,,1969,,,,,
,Aya Sawan Jhoom Ke,"Dharmendra, Asha Parekh",,,,1969,,,,,
,Badi Didi,,,,,1969,,,,,
,Balak,Sarika,,,,1969,,,,,
,Bandhan,"Rajesh Khanna, Mumtaz, Rupesh Kumar",,,,1969,,,,,
,Beti,"Nanda, Sanjay Khan",,,,1969,,,,,
,Bhai Bahen,"Ashok Kumar, Sunil Dutt, Nutan, Pran",,,,1969,,,,,
,Bhuvan Shome,"Utpal Dutt, Suhasini Mulay",Mrinal Sen,,,1969,,,,,
,Chanda Aur Bijli,"Jeevan, Padmini, Sachin, Junior Mehmood",,,,1969,,,,,
,Chirag,"Sunil Dutt, Asha Parekh",Raaj Khosla,,,1969,,,,,
,Dharti Kahe Pukarke,"Jeetendra, Sanjeev Kumar, Nanda, Kanaiya Lal, Leela Mishra",,,,1969,,,,,
,Do Bhai,Jeetendra,,,,1969,,,,,
,Do Raaste,"Rajesh Khanna, Mumtaz, Balraj Sahani, Jayant, Prem Chopra",,,,1969,,,,,
,Doli,"Rajesh Khanna, Babita",,,,1969,,,,,
,Ek Phool Do Mali,"Balraj Sahni, Sanjay Khan, Sadhna",Devendra Goel,,,1969,,,,,
,Ek Shriman Ek Shrimati,"Shashi Kapoor, Babita, Om Prakash, Rajendra Nath",,,,1969,,,,,
,Gunda,Sujit Kumar,,,,1969,,,,,
,Gustakhi Maaf,,,,,1969,,,,,
,Hum Ek Hain,,,,,1969,,,,,
,Insaaf Ka Mandir,,,,,1969,,,,,
,Intaquam,"Sadhna, Ashok Kumar, Rehman, Sanjay Khan",R. K. Nayyar,,,1969,,,,,
,Ittefaq,"Rajesh Khanna, Nanda, Iftekhaar, Sujit Kumar, Bindu, Gajanan Jagirdar",Yash Chopra,,,1969,,,,,
,Jaal Saz,,,,,1969,,,,,
,Jahan Pyar Mile,"Shashi Kapoor, Hema Malini",Lekh Tondon,,,1969,,,,,
,Jeene Ki Raah,"Jeetendra, Tanuja, Manmohan Krishn",L.V. Prasad,,,1969,,,,,
,Jigri Dost,"Jeetendra, Mumtaz",,,,1969,,,,,
,Jyoti,"Sanjeev Kumar, Navodita",,,,1969,,,,,
,Khamoshi,"Rajesh Khanna, Waheeda Rehman, Dharmendra",,,,1969,,,,,
,Madhavi,"Sanjay Khan, Deepa, Pran, Padmini, Mukri, Mehmood, Roopesh Kumar, Murad, Aruna Irani",Chanakya,,,1969,,,,,
,Mahabaladu,,,,,1969,,,,,
,Mahal,"Dev Anand, Asha Parekh",,,,1969,,,,,
,Mahua,,,,,1969,,,,,
,Mera Dost,,,,,1969,,,,,
,Mera Yaar Mera Dushman,,,,,1969,,,,,
,Meri Bhabhi,,,,,1969,,,,,
,Mr. Murder,"Nisar Ahmad Ansari, Nakhi Jahan, Change Usmani",Nisar Ahmad Ansari,Suspense,,1969,,,,,
,Mujhe Seene Se Laga Lo,,,,,1969,,,,,
,Munna,,,,,1969,,,,,
,Nanha Farishta,Pran,,,,1969,,,,,
,Nateeja,,,,,1969,,,,,
,Oos Raat Ke Baad,,,,,1969,,,,,
,Paisa Ya Pyaar,,,,,1969,,,,,
,Patthar Ke Khwab,,,,,1969,,,,,
,Prarthana,,,,,1969,,,,,
,Prince,"Shammi Kapoor, Vyjayanthimala",,,,1969,,,,,
,Priya,,,,,1969,,,,,
,Pujarin,,,,,1969,,,,,
,Pyaasi Sham,"Sunil Dutt, Sharmila Tagore",,,,1969,,,,,
,Pyar Hi Pyar,"Dharmendra, Vyjayanthimala, Pran, Mehmood Ali, Madan Puri, Helen, Salim Khan, Dhumal, Mehmood Jr., Sulochana Latkar",Bhappi Sonie,Romance,Music: Shankar JaikishanLyrics: Hasrat Jaipuri,1969,,,,,
,Pyar Ka Mausam,"Shashi Kapoor, Asha Parekh",,,,1969,,,,,
,Pyar Ka Sapna,"Ashok Kumar, Mala Sinha, Biswajeet, Johnny Walker",Hrishikesh Mukherjee,,,1969,,,,,
,Rahgir,"Biswajeet, Sandhya Roy, Shashikala, Kanhaiyalal, Iftekhar, Nirupa Roy, Asit Sen, Padma, Vasant Choudhary",Tarun Majumdar,"Romantic, Social, Drama",Music: Hemant KumarLyrics: Gulzar,1969,,,,,
,Raja Saab,"Shashi Kapoor, Nanda",Suraj Prakash,,Music: Kalyanji Anandji,1969,,,,,
,Rakhi Rakhi,,,,,1969,,,,,
,Road to Sikkim,"Dev Kumar, Anju Mahendru",Ravindra Dave,,,1969,,,,,
