Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Arab Ka Sitara,"Shyam Kumar, Sheela Kashmiri, Kamran",R.K. Rehman,Action,Music by Saadat Khan,1961,,,,,
,Bada Aadmi,"Sheikh Mukhtar, Subiraj, Vijaya Choudhry",Kaushal Raj,Action,Chitragupta,1961,,,,,
,Batwara,"Balraj Sahni, Pradeep Kumar, Jabeen, Shashikala",Karunesh Thakur,Family Drama,Music by S Madan,1961,,,,,
,Bhabhi Ki Chudiyan,"Meena Kumari, Balraj Sahni",Sadashiv Rao Kavi,Family Drama,Sudhir Phadke,1961,,,,,
,Boy Friend,"Shammi Kapoor, Dharmendra, Madhubala",Naresh Saigal,Romance,Shankar-Jaikishan,1961,,,,,
,Char Diwari,"Shashi Kapoor, Nanda, Manmohan Krishna",Krishan Chopra,Romance Family,Music by Salil Chowdhary,1961,,,,,
,Chhatrapati Shivaji Maharaj,,Ram Narayan Gabale,,,1961,,,,,
,Chhaya,"Sunil Dutt, Asha Parekh",Hrishikesh Mukherjee,,Music by Salil Chowdhary,1961,,,,,
,Chhote Nawab,"Mehmood, Ameeta, Minoo Mumtaz, Johnny Walker, R.D. Burman",S.A. Akbar,Comedy Romance,Music by Rahul Dev Burman,1961,,,,,
,Dark Street,"Ashok Kumar, K.N. Singh, Amirbai Karnataki, Nishi",Naresh Saigal,Action,Music by Dattaram,1961,,,,,
,Dharmputra,"Shashi Kapoor, Mala Sinha, Rehman, Nirupa Roy, Indrani Mukherjee",Yash Chopra,Social Family Drama,National Film Award for Best Feature Film in Hindi Music by N.Dutta,1961,,,,,
,Do Bhai,"Shakila, Helen, Abhi Bhattacharya, Om Prakash, Daisy Irani",Vishram Bedekar,Family,Music by N.Dutta,1961,,,,,
,Flat No. 9,"Ashok Kumar, Sayeeda Khan, Helen",Ramesh Sharma,,Music by Usha Khanna,1961,,,,,
,Gharana,"Rajendra Kumar, Asha Parekh, Lalita Pawar",S.S. Vasan,Family Drama,Music by Ravi,1961,,,,,
,Gunga Jumna,"Dilip Kumar, Vyjayantimala, Nazir Khan",Nitin Bose,Drama Action,Music by Naushad,1961,,,,,
,Hamari Yaad Aayegi,"Tanuja, Ashok Sharma",Kidar Sharma,Romance Drama,Snehal Bhatkar,1961,,,,,
,Hum Dono,"Dev Anand, Nanda, Sadhna",Amarjeet,Drama Family Romance War,Entered into the 12th Berlin International Film Festival Music by Jaidev,1961,,,,,
,Hum Matwaale Naujawaan,"Shekhar, Sayeeda Khan, Jeevan, Agha",L.R. Asthana,Drama Family,Chitragupta,1961,,,,,
,Jab Pyar Kisise Hota Hai,"Dev Anand, Asha Parekh, Pran",Nasir Hussain,Romance,Music by Shankar-Jaikishan,1961,,,,,
,Jadoo Nagri,"Ranjan, Vijaya Choudhary, Jeevan",Radhakant,Fantasy,Music by S.N. Tripathi,1961,,,,,
,Jai Bhawani,"Jayshree Gadkar, Manhar Desai, Lata Sinha, Veena",Dhirubhai Desai,Mythology,Music by S. Mohinder,1961,,,,,
,Jai Chittor,"Nirupa Roy, Jairaj, Bipin Gupta",Jaswant Jhaveri,Drama History,Music by S.N. Tripathi,1961,,,,,
,Jhumroo,"Kishore Kumar, Madhubala, Anoop Kumar, Chanchal",Shanker Mukherjee,Romance Drama,Music by Kishore Kumar,1961,,,,,
,Junglee,"Shammi Kapoor, Saira Banu, Anoop Kumar, Lalita Pawar, Azra",Subodh Mukherjee,Romance,"Intro: Saira Banu, Music by Shankar- Jaikishan",1961,,,,,
,Kabuliwala,"Balraj Sahni, Usha Kiran, Sonu, Baby Farida",Hemen Gupta,Drama,"A Bimal Roy Productions, Music by Salil Choudhary",1961,,,,,
,Karorepati,"Kishore Kumar, Kumkum, Anoop Kumar, Shashikala",Mohan Sehgal,"Comedy, Crime",Music by Shankar-Jaikishan,1961,,,,,
,Kanch Ki Gudiya,"Manoj Kumar, Sayeeda Khan, Tarun Bose, Shubha Khote",H. S. Rawail,Drama Family,Music by Suhrid Kar,1961,,,,,
,Khiladi,"Ranjan, Jabeen, Shammi, Sunder, Tiwari",B.J. Patel,Action,Sardul Kwatra,1961,,,,,
,Madan Manjri,"Manhar Desai, Ajit, Nalini Chonker",J. Trivedi,Fantasy,Sardar Malik,1961,,,,,
,Mahavat[2],"Udaykumar, B. Sarojadevi",M. A. Thirumugam,Drama,Music by Sudharshan. Dubbed from Tamil,1961,,,,,
,Main Aur Mera Bhai,"Ajit, Ameeta, Lalita Pawar, Helen",Dharam Kumar,Family Drama,Music by C. Arjun composer,1961,,,,,
,Matlabi Duniya,"Anant Kumar, Dhumal, Asha",Radhakant M Thakur,Social,Shashank Banerji,1961,,,,,
,Maya,"Dev Anand, Mala Sinha",D.D. Kashyap,Drama Crime Romance,Salil Chowdhury,1961,,,,,
,Memdidi,"Tanuja, Keysi Mehra, Lalita Pawar, Jayant, David",Hrishikesh Mukherjee,Drama,Music by Salil Choudhary,1961,,,,,
,Mera Suhaag,"Nazima, Kanta Rao",Hunsur Krishnamurthy,Family Drama,Music by Arun Raghavan,1961,,,,,
,Modern Girl,"Pradeep Kumar, Sayeeda Khan, Madan Puri, Iftekhar, Helen",R. Bhattacharya,Family Drama,Ravi,1961,,,,,
,Mr. India,"Geeta Bali, I. S. Johar, Helen, Feroz Khan",G.P. Sippy,"Comedy, Crime",Music by G.S. Kohli,1961,,,,,
,Murad,"Chitra, Asgar, Manju",Nari Ghadiali,,Hanuman Prasad Triloki,1961,,,,,
,Nazrana,"Raj Kapoor, Vyjayantimala Gemini Ganesan, Usha Kiran",Sridhar,Family Drama,Music by Ravi,1961,,,,,
,Oomar Qaid,"Sheikh Mukhtiar, Sudhir, Nazima, Mukri, Helen, Sulochana.",Aspi Irani,,Music by Iqbal Qureshi,1961,,,,,
,Opera House,"Ajit, B. Saroja Devi, Lalita Pawar",P.L. Santoshi,Crime Thriller Romance,Music by Chitragupta,1961,,,,,
,Passport,"Pradeep Kumar, Madhubala, K.N. Singh",Pramod Chakravorty,Thriller,Qamar Jalalabadi-Kalyanji Anandji,1961,,,,,
,Pyaase Panchhi,"Mehmood, Ameeta, Jeevan, David",Harsukh Jagneshwar Bhatt,"Romance, Comedy",Music by Kalyanji Anandji,1961,,,,,
,Pyar Ka Sagar,"Rajendra Kumar, Meena Kumari, Madan Puri",Devendra Goel,"Romance, Drama",Music by Ravi,1961,,,,,
,Pyaar Ki Dastan,"Ameeta, Sudesh Kumar, Shubha Khote, Mohan Choti, Helen",P.L. Santoshi,Romance,Music by Naushad,1961,,,,,
,Pyaar Ki Pyaas,"Honey Irani, Shrikant, Nishi, Manmohan Krishna",Mahesh Kaul,Drama Family,Music by Vasant Desai,1961,,,,,
,Ram Lila,"Abhi Bhattacharya, Jayshree T, Shahu Modak, Leela Chitnis, Tiwari, Anil Kumar, Tun Tun",Chandrakant,Mythological,Music by S.N. Tripathi,1961,,,,,
,Razia Sultana,"Nirupa Roy, Kamran, Jairaj, Agha, Madhumati",Devendra Goel,Historical Romance,Music by Lachchiram Bhairam,1961,,,,,
,Reshmi Rumal,"Manoj Kumar, Shakeela, Kamal Kapoor, K.N. Singh, Helen",Harsukh Jagneshwar Bhatt,Romance,Music by Babul,1961,,,,,
,Roop Ki Rani Choron Ka Raja,"Dev Anand, Waheeda Rehman, Jeevan, Sunder",Harnam Singh Rawail,Romance,Music by Shankar Jaikishan,1961,,,,,
,Saaya,"Nasir Khan, Nigar Sultana, Helen, Chitra, Madan Puri",Shreeram,Family Drama,Music by Ram Ganguly,1961,,,,,
,Salaam Memsaab,"Kumkum, Subbi Raj, K.N. Singh",Kalpataru,"Thriller, Action, Romance",Music by Ravi,1961,,,,,
,Sampoorna Ramayana,"Mahipal, Anita Guha, Achala Sachdev, Lalita Pawar, Badri Prasad",Babubhai Mistry,Mythological,Music by Vasant Desai,1961,,,,,
,Sanjog,"Pradeep Kumar, Anita Guha, Shubha Khote, Om Prakash",Pramod Chakravorty,Drama Social Family,Music by Madan Mohan,1961,,,,,
,Sapera,"Ranjan, Jeevan Kala, Tiwari",B.J. Patel,,"Music by Ajit Merchant, Lyrics: Indivar",1961,,,,,
,Sapne Suhane,"Balraj Sahni, Geeta Bali, Chandrashekhar, Kamini Kadam",Kedar Kapoor,Romance Drama,Music by Salil Choudhary,1961,,,,,
,Sara Jahan Hamara,"Premnath, Shyama, Jankidas, Azra",Prakash Chabra,Crime Action Drama,Music by Babul,1961,,,,,
,Sasural,"Rajendra Kumar, B. Saroja Devi, Mehmood, Shobha Khote, Dhumal",T. Prakash Rao,Family Drama,Music by Shankar Jaikishan,1961,,,,,
,Sati Renuka,"Jamuna, G. Varalaxmi",Prakash Rao,Mythological,"Music by S L Merchant Shreeram, Lyrics by Bharat Vyas",1961,,,,,
,Saugandh,"Anjali Devi, Gemini Ganesan, Kamla Laxman, M.N. Nambiar.",G.K. Ramu,Drama,Music by Dilip Dholakia,1961,,,,,
,Savitri,,Phani Majumdar,Children's Film,Received All India Certificate of Merit for the Second Best Children's Film,1961,,,,,
,Senapati,"Prithviraj Kapoor, Nalini Jaywant",Kedar Kapoor,Costume Drama,Music by Madan Mohan,1961,,,,,
,Shahi Farman,"Krishna Kumari, Kamran",K. Anand,Action,Music by Harbans,1961,,,,,
,Shama,"Nimmi, Suraiya, Vijay Dutt",Lekhraj Bhakri,Social Drama,Ghulam Mohammed,1961,,,,,
,Shola Aur Shabnam,"Dharmendra, Tarla",Ramesh Saigal,Romance Drama,Khayyam,1961,,,,,
,Shola Jo Bhadke,"KumKum, Purnima, Suresh, Anwar, Bhagwan, Helen",Bhagwan,Musical,Music by Nissar,1961,,,,,
,Stree,"V. Shantaram, Sandhya, Rajshree",V. Shantaram,Drama,Music by C. Ramchandra,1961,,,,,
,Suhag Sindoor,"Balraj Sahni, Mala Sinha, Manoj Kumar",Krishanan Panju,Family Social Drama,Music by Chitragupta,1961,,,,,
,Tanhai,"Karan Dewan, Usha Kiran, Purnima, Jagirdar",Ram Narayan Gabale,,Music by Mohd. Shafi,1961,,,,,
,Teen Kanya: Tales of Three girls (Bengali),"Chandana Banerjee, Anil Chatterjee, Kali Banerjee, Kumar Roy, Soumitra Chatterjee, Aparna Sen, Gita Dey",Satyajit Ray,Anthology film,Based on short stories by Rabindranath Tagore,1961,,,,,
,Teen Ustad,"Suresh, Ameeta, Shammi, Honey Irani",Nanabhai Bhatt,Action Crime Drama,Music by Dilip Dholakia,1961,,,,,
