Title,Director,Cast,Genre,Sources,Year,1974Rank,1976Rank,1969Rank,1978Rank,1979Rank
Maryada,Aravind Sen,"Rajesh Khanna, Mala Sinha, Pran",Romance,,1971,,,,,
Mehboob Ki Mehndi,Harnam Singh Rawail,"Rajesh Khanna, Leena Chandavarkar",Romance,,1971,,,,,
Mela,Prakash Mehra,"Sanjay Khan, Mumtaz, Feroz Khan",,,1971,,,,,
Memsaab,Atma Ram,"Vinod Khanna, Yogeeta Bali",Drama,,1971,,,,,
Mera Gaon Mera Desh,Raj Khosla,"Asha Parekh, Dharmendra, Vinod Khanna",Drama,,1971,,,,,
Mere Apne,Gulzar,"Meena Kumari, Vinod Khanna, Shatrughan Sinha",Drama,,1971,,,,,
Naya Zamana,Pramod Chakravorty,"Dharmendra, Hema Malini, Ashok Kumar, Pran",Romance,,1971,,,,,
Paras,C. P. Dixit,"Sanjeev Kumar, Shatrughan Sinha, Raakhee",Drama,,1971,,,,,
Paraya Dhan,Rajendra Bhatia,"Hema Malini, Rakesh Roshan, Balraj Sahni",Drama,,1971,,,,,
Parde Ke Peechey,K. Shankar,"Vinod Mehra, Yogeeta Bali, Bindu, Pran",Drama,,1971,,,,,
Parwana,Jyoti Swaroop,"Amitabh Bachchan, Navin Nischol, Yogeeta Bali",,,1971,,,,,
Patanga,Kedar Kapoor,"Shashi Kapoor Vimi, Zeb Rehman",Drama,,1971,,,,,
Phir Bhi,Shivendra Sinha,"Pratap Sharma, Urmila Bhatt, Suresh Oberoi",Drama,,1971,,,,,
Preet Ki Dori,,"Parikshit Sahni, Tanuja",Drama,,1971,,,,,
Preetam,Bhappi Sonie,"Shammi Kapoor, Leena Chandavarkar",Romance,,1971,,,,,
Pyar Ki Kahani,Ravikant Nagaich,"Amitabh Bachchan, Tanuja, Mala Sinha",Drama,,1971,,,,,
Rakhwala,Adurthi Subba Rao,"Dharmendra, Leena Chandavarkar",Romance,,1971,,,,,
Ramu Ustad,Mohammed Hussain,"Madan Puri, Dara Singh",Drama,,1971,,,,,
Reshma Aur Shera,Sunil Dutt,"Sunil Dutt, Waheeda Rehman, Amitabh Bachchan, Vinod Khanna",,,1971,,,,,
Saat Sawal,Babubhai Mistry,Johnny Whisky,Drama,,1971,,,,,
Saaz Aur Sanam,JBH Wadia,"Rekha, Premendra",Romance,,1971,,,,,
Sansar,Dilip Bose,"Anupama, Nirupa Roy",Drama,,1971,,,,,
Seema,Surendra Mohan,"Kabir Bedi, Simi Garewal, Rakesh Roshan, Bharati, Padma Khanna, Abhi Bhattacharya",Drama,,1971,,,,,
Sharmeelee,Samir Ganguly,"Shashi Kapoor, Raakhee",Romance,,1971,,,,,
Shri Krishna Leela,Homi Wadia,"Sachin, Hina, Jayshree Gadkar, Sapru, Manhar Desai, Tabassum",Religious,,1971,,,,,
Tere Mere Sapne,Vijay Anand,"Dev Anand, Vijay Anand, Mumtaz, Hema Malini, Tabassum, Agha",,,1971,,,,,
Tulsi Vivah,Chandrakant,"Abhi Bhattacharya, Dara Singh, Randhawa, Jayshree Gadkar, Anita Guha",Mythology Religious Drama,,1971,,,,,
Ummeed,Nitin Bose,"Ashok Kumar, Joy Mukherjee, Leela Naidu, Nanda, Leela Mishra, Tun Tun",Family Social Drama,,1971,,,,,
Upaasna,Mohan,"Sanjay Khan, Mumtaz, Feroz Khan, Helen, Anwar Hussain",Drama,,1971,,,,,
Uphaar,Sudhendu Roy,"Jaya Badhuri, Swarup Dutt, Kamini Kaushal, Suresh Chatwal, Leela Mishra",Family Drama,,1971,,,,,
Woh Din Yaad Karo,K. Amarnath,"Sanjay Khan, Nanda, Mehmood Ali, Madan Puri, Shashikala, Tun Tun, Wasti, Jayshree T.",Drama,,1971,,,,,
Aan Baan,Prakash Mehra,"Raakhee, Pran",Drama,,1972,,,,,
Aankh Micholi,Ramanna,"Rakesh Roshan, Bharathi Vishnuvardhan, Farida Jalal",Drama,,1972,,,,,
Aankhon Aankhon Mein,Raghunath Jhalani,"Rakesh Roshan, Raakhee, Pran",Drama,,1972,,,,,
Amar Prem,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore",Drama,,1972,,,,,
Annadata,Asit Sen,"Jaya Bhaduri, Anil Dhawan",Drama,,1972,,,,,
Anokha Daan,Asit Sen,"Kabir Bedi, Tarun Bose, Anil Dhawan, Zaheera",Drama,,1972,,,,,
Anokha Milan,Jagannath Chatterjee,"Dilip Kumar, Dharmendra",Drama,,1972,,,,,
Anokhi Pehchan,Satyen Bose,"Sanjay Khan, Raakhee",Drama,,1972,,,,,
Anuraag,Shakti Samanta,"Nutan, Rajesh Khanna",Drama,,1972,,,,,
Apna Desh,Jambu,"Rajesh Khanna, Mumtaz",Drama,,1972,,,,,
Apradh,Feroz Khan,"Feroz Khan, Mumtaz",Action,,1972,,,,,
Babul Ki Galiyaan,S.D. Narang,"Sanjay Khan, Hema Malini, Shatrughan Sinha",Drama,,1972,,,,,
Baharon Phool Barsao,,Dheeraj Kumar,Drama,,1972,,,,,
Bandagi,K. Shankar,Pandharibai,Romance,,1972,,,,,
Bansi Birju,Prakash Verma,"Amitabh Bachchan, Jaya Bhaduri",Romance,,1972,,,,,
Bawarchi,Hrishikesh Mukherjee,"Rajesh Khanna, Jaya Bhaduri",Comedy,,1972,,,,,
Be-Imaan,Sohanlal Kanwar,"Manoj Kumar, Raakhee, Pran",,,1972,,,,,
Bees Saal Pehle,Probir Roy,Lalita Pawar,Drama,,1972,,,,,
Bindiya Aur Bandook,,,,,1972,,,,,
Bhai Ho To Aisa,Manmohan Desai,"Jeetendra, Hema Malini, Shatrughan Sinha",Drama,,1972,,,,,
Bombay to Goa,S. Ramanathan,"Amitabh Bachchan, Shatrughan Sinha, Aruna Irani, Mehmood",Drama,,1972,,,,,
Buniyaad,Virender Sinha,"Rakesh Roshan, Shatrughan Sinha, Yogeeta Bali, Pran",Drama,,1972,,,,,
Dastaan,B.R. Chopra,"Dilip Kumar, Sharmila Tagore, Bindu",Drama,,1972,,,,,
Dharkan,Devendra Goel,"Sanjay Khan, Mumtaz",Thriller,,1972,,,,,
Dil Daulat Duniya,Prem Narayan Arora,"Rajesh Khanna, Sadhana Shivdasani, Ashok Kumar, Helen",Drama,,1972,,,,,
Dil Ka Raja,P. Madhavan,"Waheeda Rehman, Raaj Kumar",Action,,1972,,,,,
Do Bachche Dus Haath,Kalpataru,"Nasir Ahmad Ansari, Prem Nath",Drama,,1972,,,,,
Do Chor,Padmanabh,"Dharmendra, Tanuja",Action,,1972,,,,,
Do Gaz Zameen Ke Neeche,Tulsi Ramsay,Satyendra Kapoor,Horror,,1972,,,,,
Do Yaar,Kewal Misra,"Vinod Khanna, Rekha, Shatrughan Sinha",Action,,1972,,,,,
Double Cross,Gogi Anand,"Vijay Anand, Rekha",Action,,1972,,,,,
Dushman,Dulal Guha,"Rajesh Khanna, Mumtaz",Drama,,1972,,,,,
Ek Adhuri Kahani,Mrinal Sen,"Utpal Dutt, Shekhar Chatterjee",Drama,,1972,,,,,
Ek Bar Mooskura Do,Ram Mukherjee,"Shobhna Samarth, Joy Mukherjee, Tanuja, Deb Mukherjee",Drama,,1972,,,,,
Ek Bechara,S.M. Abbas,"Jeetendra, Rekha, Vinod Khanna, Pran",Drama,,1972,,,,,
